date,ticker,close,ret_1d,fwd_ret_1d,fwd_ret_5d,vol_20d,vol_20d_ann,text,num_headlines,finbert_positive,finbert_negative,finbert_neutral,signal_finbert
2020-03-09,AAPL,64.25438690185547,-0.0790921427142118,0.0720213166759102,-0.0900177405449165,0.0381391920043707,0.6054409034910483,Crude Awakening: Energy Sector Takes A 20% Spill As Crude Price War Sends Oil To 4-Year Low Investor Movement Index Summary: February 2020 101 Stocks Moving In Monday's Mid-Day Session,3,0.07266943901777267,0.8270715475082397,0.10025902092456818,-0.7544021084904671
2020-03-10,AAPL,68.88207244873047,0.0720213166759102,-0.0347305330856881,-0.113829013444188,0.0421257780227502,0.6687259945998442,"Peloton Shares Tick To Session Low As Hearing Report Apple Working On 'Guided Workout' Fitness App Morning Market Stats In 5 Minutes The Main Challenges Faced By The Upcoming EV Era Jedi Wars Between Amazon And Microsoft Are Still Very Much On Airlines Continue Suffering As Delta, American Announce Schedule Cuts, But Crude Bounces Shares of several technology companies are trading higher as markets look to rebound from Monday's selloff. The technology sector has been highly impacted by the coronavirus due to its China exposure and sensitivity to economic conditions. UBS Maintains Buy on Apple, Lowers Price Target to $335 123 Biggest Movers From Yesterday",8,0.04738222062587738,0.934005081653595,0.018612712621688843,-0.8866228610277176
2020-03-11,AAPL,66.48976135253906,-0.0347305330856881,-0.0987545992826576,-0.1044186045444228,0.0426440582681187,0.6769534384319406,"Here's How Large Option Traders Are Playing High-Yield AT&T As Market Falls Apple To Close All Italy Stores Until Further Notice Despite Volatility, FANG Continues to Prove Its Popularity UPDATE: BofA Securities On Apple Notes 'We reiterate Buy on large cash balance/optionality, expected new buyback authorization in April and upcoming 5G cycle' UPDATE: BofA Securities Reiterates Buy On Apple, Lowers Target To $320 As Firm Notes 'Lowering estimates on weaker global demand, some delay in product launches' BofA Lowers Apple Price Target Due To Potential Delay In Product Launches As Market Gyrates, Investors Seek Direction From Large Stocks Including Apple, Microsoft Only Technology Can Save And Lead The Automotive Industry Forward Coronavirus – Another Severe Hit To The Automotive Industry B of A Securities Reiterates Buy on Apple, Lowers Price Target to $320",13,0.08372870832681656,0.8760595917701721,0.040211647748947144,-0.7923308834433556
2020-03-12,AAPL,59.92359161376953,-0.0987545992826576,0.1198084362652074,-0.0138983652913911,0.0466701264879449,0.7408652900581834,"Selling Picks Up In Worst Day Since 1987 As Fear Continues To Drive Markets Lower Financial Pro Says Trump 'Solidified' Fears Of Economic Slowdown E-Commerce Is Among The Lucky Ones With The Tools To Amortize The Coronavirus Blow Technical Pro: Apple A 'Great Company,' Not A 'Great Stock' Right Now Shares of several technology, software and semiconductor companies are trading lower as equities sell off amid continued global coronavirus concerns. The virus has caused global economic disruption and negatively impacted stocks across sectors. CME To Shut Down Chicago Trading Floor Over Coronavirus Concerns",6,0.008262435905635357,0.969885528087616,0.021852096542716026,-0.9616230921819806
2020-03-13,AAPL,67.10294342041016,0.1198084362652074,-0.1286469833890012,-0.1753067569935228,0.0552985734412831,0.8778376390936593,"Canopy Growth's Storz & Bickel Bypasses Apple's Vaping App Ban With New Web App 88 Stocks Moving In Friday's Mid-Day Session VirnetX Receives ~$454M Payment In Apple Suit Apple's Worldwide Developers Conference 2020 To Be Held In Online Format Regulators Aiming To Break Of Big Tech Are Receiving ""Help"" From COVID-19 Apple Gets Upgrade, Futures Reverse Downward Course As Washington Stimulus Awaited Oracle Might Not Challenge Cloud Providers But Investors Are Pleased Apple shares are trading higher after Wells Fargo upgraded the stock from Equal-Weight to Overweight and announced a $315 price target. NOTE: The overall market is also rebounding from Thursday's crash. Apple Reopens All China Stores As Coronavirus Cases Drop In Country Apple Still Looks to Ship 90M AirPods in 2020",11,0.7463942170143127,0.1839953511953354,0.06961044669151306,0.5623988658189774
2020-03-16,AAPL,58.47035217285156,-0.1286469833890012,0.0439700092355959,-0.0736553126336636,0.0616386993487139,0.9784840176850568,"Apple Analyst Says 'Uncertainty Remains Too High' To Buy The Dip 95 Stocks Moving In Monday's Mid-Day Session 5 Reasons Why Amazon Is Morgan Stanley's Top Pick Banks, Airlines, Apple Among Stocks Being Hit Hard Despite Fed Cutting Rates To Zero 22 Stocks Moving in Monday's Pre-Market Session Apple shares are trading lower following a report suggesting the company was fined €1.1B by the French Competition Authority for anti-competitive behavior in its distribution network. Apple Fined €1.1B byFrench Competition Authority for Anti-competitive Behaviour in Its Distribution Network 144 Biggest Movers From Friday Walmart Shortens Store Operating Hours In Response To Coronavirus Outbreak Starbucks Switches To 'To Go' Model As Coronavirus Spreads, Closes Some Stores",11,0.010633396916091442,0.9710076451301575,0.018358945846557617,-0.960374248214066
2020-03-17,AAPL,61.04129409790039,0.0439700092355959,-0.0244801632135868,-0.0236495592411988,0.0629047306886702,0.9985816421502852,"UPDATE: Apple Previously Announced Closing Of Retail Locations Til Mar. 27, Now Says 'Until Further Notice' Hearing Apple To Close All Retail Stores Until Further Notice Apple shares are trading higher as tech stocks rebound following Monday's crash. Morgan Stanley analysts today maintained an overweight rating on the stock. Trump Says Will Expand Medicare Telehealth Service Offers, Working With Skype, Apple For FaceTime Jefferies Reiterates Buy on Apple, Lowers Price Target to $320 10 Biggest Price Target Changes For Tuesday Morgan Stanley Maintains Overweight on Apple, Lowers Price Target to $328 A Peek Into The Markets: US Stock Futures Gain Ahead Of Economic Reports Apple Hit With $1.2B Fine By French Antitrust Authorities 110 Biggest Movers From Yesterday",14,0.7049767374992371,0.17295287549495697,0.12207035720348358,0.5320238620042801
2020-03-18,AAPL,59.546993255615234,-0.0244801632135868,-0.0076618748104967,-0.0046619812174168,0.0627206080608936,0.9956587860472658,"Oil Giants Persist In Paradoxical Behavior, But They Can Afford It Travel, Airline Stocks In Focus Amid Fresh Weakness; Amazon To Hire 100,000 Workers Shares of several technology, software and semiconductor companies are trading lower as equities sell off amid continued global coronavirus concerns. The virus has caused global economic disruption and negatively impacted stocks across sectors. Apple Unveils New iPad Pro And New MacBook Air",4,0.008308799006044865,0.971916913986206,0.019774282351136208,-0.9636081149801612
2020-03-19,AAPL,59.09075164794922,-0.0076618748104967,-0.0634855289308409,0.0558052962998876,0.062726246224865,0.9957482891255814,"Will Big Tech Come To The Rescue Against COVID-19? Canaccord Genuity Maintains Buy on Apple, Lowers Price Target to $300",2,0.5554543733596802,0.05462069436907768,0.38992494344711304,0.5008336789906025
2020-03-20,AAPL,55.3393440246582,-0.0634855289308409,-0.0212442691835051,0.080701380455628,0.0637650017344327,1.012238021633468,"Shares of several technology companies are trading higher. Market strength has been attributed to strong containment measures taken by California, rebound in oil, central bank actions and expectations of increased technology usage amid the virus outbreak. Apple Limits Online iPhone Purchases To Two After Closing All Stores Outside China",2,0.044638440012931824,0.8700264692306519,0.0853351429104805,-0.82538802921772
